sample,category,reads
Eip_3,Assigned,1440266
Eip_5,Assigned,7212279
Eip_4,Assigned,1837152
Eip_2,Assigned,817712
Eip_1,Assigned,6777689
Ein_3,Assigned,10231698
Ein_5,Assigned,7726303
Ein_4,Assigned,4276696
Ein_2,Assigned,10876443
Ein_1,Assigned,15866459
Hin_3,Assigned,12325839
Hin_5,Assigned,22637947
Hin_4,Assigned,26737038
Hin_2,Assigned,4655051
Hin_1,Assigned,9849619
Hip_3,Assigned,17879936
Hip_5,Assigned,15981009
Hip_4,Assigned,25015851
Hip_2,Assigned,9767371
Hip_1,Assigned,13943172
Eip_3,Unassigned_Ambiguity,309495
Eip_5,Unassigned_Ambiguity,824882
Eip_4,Unassigned_Ambiguity,1050298
Eip_2,Unassigned_Ambiguity,249180
Eip_1,Unassigned_Ambiguity,1355719
Ein_3,Unassigned_Ambiguity,347809
Ein_5,Unassigned_Ambiguity,321545
Ein_4,Unassigned_Ambiguity,121954
Ein_2,Unassigned_Ambiguity,385694
Ein_1,Unassigned_Ambiguity,526484
Hin_3,Unassigned_Ambiguity,492138
Hin_5,Unassigned_Ambiguity,850775
Hin_4,Unassigned_Ambiguity,1090944
Hin_2,Unassigned_Ambiguity,167198
Hin_1,Unassigned_Ambiguity,362005
Hip_3,Unassigned_Ambiguity,1396435
Hip_5,Unassigned_Ambiguity,1091781
Hip_4,Unassigned_Ambiguity,1682928
Hip_2,Unassigned_Ambiguity,694395
Hip_1,Unassigned_Ambiguity,1017784
Eip_3,Unassigned_MultiMapping,2791586
Eip_5,Unassigned_MultiMapping,13083673
Eip_4,Unassigned_MultiMapping,8649100
Eip_2,Unassigned_MultiMapping,2590120
Eip_1,Unassigned_MultiMapping,12375620
Ein_3,Unassigned_MultiMapping,4306718
Ein_5,Unassigned_MultiMapping,5086471
Ein_4,Unassigned_MultiMapping,1437945
Ein_2,Unassigned_MultiMapping,3434835
Ein_1,Unassigned_MultiMapping,6339852
Hin_3,Unassigned_MultiMapping,5396008
Hin_5,Unassigned_MultiMapping,9694732
Hin_4,Unassigned_MultiMapping,13286689
Hin_2,Unassigned_MultiMapping,1485692
Hin_1,Unassigned_MultiMapping,4006186
Hip_3,Unassigned_MultiMapping,18176007
Hip_5,Unassigned_MultiMapping,16988286
Hip_4,Unassigned_MultiMapping,23733754
Hip_2,Unassigned_MultiMapping,8633926
Hip_1,Unassigned_MultiMapping,12729941
Eip_3,Unassigned_NoFeatures,541101
Eip_5,Unassigned_NoFeatures,2377778
Eip_4,Unassigned_NoFeatures,1637552
Eip_2,Unassigned_NoFeatures,532669
Eip_1,Unassigned_NoFeatures,7600063
Ein_3,Unassigned_NoFeatures,2259950
Ein_5,Unassigned_NoFeatures,2064281
Ein_4,Unassigned_NoFeatures,955866
Ein_2,Unassigned_NoFeatures,3482872
Ein_1,Unassigned_NoFeatures,3229560
Hin_3,Unassigned_NoFeatures,1665668
Hin_5,Unassigned_NoFeatures,2974646
Hin_4,Unassigned_NoFeatures,3487335
Hin_2,Unassigned_NoFeatures,570257
Hin_1,Unassigned_NoFeatures,1273925
Hip_3,Unassigned_NoFeatures,3069787
Hip_5,Unassigned_NoFeatures,2628203
Hip_4,Unassigned_NoFeatures,4150927
Hip_2,Unassigned_NoFeatures,1314077
Hip_1,Unassigned_NoFeatures,2194761
